
Sample:   c= 1.0125 mg/ml  Code: 
Parent(s): C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_1_P1_Buffer_0013.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_2_P1_Buffer_0016.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_3_P1_Buffer_0019.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/PolymeraseP1_P1_buffer_0009.dat  
 7.491270e-002  4.462122e-001  4.461134e-003
 7.766520e-002  4.399120e-001  4.293934e-003
 8.041770e-002  4.432872e-001  4.019357e-003
 8.317020e-002  4.409969e-001  3.807389e-003
 8.592280e-002  4.370729e-001  3.630561e-003
 8.867530e-002  4.381039e-001  3.529154e-003
 9.142780e-002  4.289913e-001  3.361115e-003
 9.418030e-002  4.263766e-001  3.261961e-003
 9.693280e-002  4.271356e-001  3.097927e-003
 9.968540e-002  4.213052e-001  3.008204e-003
 1.024380e-001  4.226284e-001  2.945217e-003
 1.051900e-001  4.121240e-001  2.811162e-003
 1.079430e-001  4.074578e-001  2.720479e-003
 1.106950e-001  4.015604e-001  2.682976e-003
 1.134480e-001  4.047480e-001  2.599637e-003
 1.162000e-001  3.968207e-001  2.540724e-003
 1.189530e-001  3.972982e-001  2.451348e-003
 1.217050e-001  3.920288e-001  2.430572e-003
 1.244580e-001  3.819055e-001  2.364321e-003
 1.272110e-001  3.866020e-001  2.325025e-003
 1.299630e-001  3.778160e-001  2.266236e-003
 1.327160e-001  3.740263e-001  2.187916e-003
 1.354680e-001  3.655622e-001  2.178027e-003
 1.382210e-001  3.682037e-001  2.144548e-003
 1.409730e-001  3.657851e-001  2.077614e-003
 1.437260e-001  3.586484e-001  2.062741e-003
 1.464780e-001  3.539124e-001  1.998966e-003
 1.492310e-001  3.514108e-001  1.990780e-003
 1.519830e-001  3.471537e-001  8.522523e-004
 1.547360e-001  3.441239e-001  8.319835e-004
 1.574880e-001  3.401959e-001  8.353170e-004
 1.602410e-001  3.355788e-001  8.081726e-004
 1.629930e-001  3.321134e-001  8.107861e-004
 1.657460e-001  3.298615e-001  7.901549e-004
 1.684980e-001  3.242590e-001  7.706840e-004
 1.712510e-001  3.226311e-001  7.760006e-004
 1.740030e-001  3.178201e-001  7.477957e-004
 1.767560e-001  3.136681e-001  7.479355e-004
 1.795080e-001  3.094627e-001  7.329416e-004
 1.822610e-001  3.048188e-001  6.927892e-004
 1.850130e-001  3.015346e-001  6.848362e-004
 1.877660e-001  2.966797e-001  6.679030e-004
 1.905180e-001  2.942285e-001  6.635268e-004
 1.932710e-001  2.895427e-001  6.556223e-004
 1.960230e-001  2.849927e-001  6.468853e-004
 1.987760e-001  2.813948e-001  6.452595e-004
 2.015290e-001  2.790823e-001  6.409474e-004
 2.042810e-001  2.750744e-001  6.463010e-004
 2.070340e-001  2.710789e-001  6.426526e-004
 2.097860e-001  2.665931e-001  6.410615e-004
 2.125390e-001  2.622329e-001  6.338604e-004
 2.152910e-001  2.593112e-001  6.272722e-004
 2.180440e-001  2.568613e-001  6.271695e-004
 2.207960e-001  2.514130e-001  6.226706e-004
 2.235490e-001  2.476269e-001  6.134148e-004
 2.263010e-001  2.430313e-001  6.105936e-004
 2.290540e-001  2.397270e-001  6.012626e-004
 2.318060e-001  2.370043e-001  6.024885e-004
 2.345590e-001  2.332761e-001  5.914763e-004
 2.373110e-001  2.285406e-001  7.490431e-004
 2.400640e-001  2.252413e-001  7.420779e-004
 2.428160e-001  2.211387e-001  7.428573e-004
 2.455690e-001  2.189244e-001  7.285469e-004
 2.483210e-001  2.151922e-001  7.282061e-004
 2.510740e-001  2.105261e-001  7.074843e-004
 2.538260e-001  2.071995e-001  7.086850e-004
 2.565790e-001  2.051300e-001  7.151186e-004
 2.593310e-001  2.008326e-001  6.842729e-004
 2.620840e-001  1.963443e-001  6.714642e-004
 2.648360e-001  1.932961e-001  6.491525e-004
 2.675890e-001  1.898584e-001  6.393254e-004
 2.703410e-001  1.870407e-001  6.291379e-004
 2.730940e-001  1.830498e-001  6.165975e-004
 2.758460e-001  1.803137e-001  6.144171e-004
 2.785990e-001  1.765715e-001  6.014942e-004
 2.813520e-001  1.735420e-001  5.913427e-004
 2.841040e-001  1.698302e-001  5.796422e-004
 2.868570e-001  1.657117e-001  5.719523e-004
 2.896090e-001  1.630723e-001  5.701194e-004
 2.923620e-001  1.604978e-001  5.614901e-004
 2.951140e-001  1.572571e-001  5.473679e-004
 2.978670e-001  1.542318e-001  5.455446e-004
 3.006190e-001  1.512588e-001  5.357690e-004
 3.033720e-001  1.483951e-001  5.343849e-004
 3.061240e-001  1.451705e-001  5.209221e-004
 3.088770e-001  1.429578e-001  5.154313e-004
 3.116290e-001  1.396290e-001  5.117104e-004
 3.143820e-001  1.373938e-001  5.064948e-004
 3.171340e-001  1.342272e-001  4.975343e-004
 3.198870e-001  1.306582e-001  4.966649e-004
 3.226390e-001  1.285413e-001  5.050988e-004
 3.253920e-001  1.253162e-001  4.999455e-004
 3.281440e-001  1.229247e-001  4.948877e-004
 3.308970e-001  1.197318e-001  4.917850e-004
 3.336490e-001  1.175574e-001  4.902858e-004
 3.364020e-001  1.151064e-001  4.890450e-004
 3.391540e-001  1.127354e-001  4.818515e-004
 3.419070e-001  1.094031e-001  4.739179e-004
 3.446590e-001  1.068879e-001  4.761083e-004
 3.474120e-001  1.050322e-001  4.706486e-004
 3.501640e-001  1.022814e-001  4.706892e-004
 3.529170e-001  9.955663e-002  4.576177e-004
 3.556690e-001  9.691883e-002  4.559898e-004
 3.584220e-001  9.447877e-002  4.549356e-004
 3.611750e-001  9.308303e-002  4.496703e-004
 3.639270e-001  9.054909e-002  4.488165e-004
