Sample description: 
Sample:   c= 1.3600 mg/ml  Code: P1_1_P1_Buffer
Parent(s): datacollection/data/absolute/img_0013_00001.dat datacollection/data/absolute/img_0013_00002.dat datacollection/data/absolute/img_0013_00003.dat datacollection/data/absolute/img_0013_00004.dat datacollection/data/absolute/img_0013_00005.dat datacollection/data/absolute/img_0013_00006.dat datacollection/data/absolute/img_0013_00007.dat datacollection/data/absolute/img_0013_00008.dat datacollection/data/absolute/img_0013_00009.dat datacollection/data/absolute/img_0013_00010.dat datacollection/data/absolute/img_0013_00011.dat datacollection/data/absolute/img_0013_00012.dat datacollection/data/absolute/img_0013_00013.dat datacollection/data/absolute/img_0013_00014.dat datacollection/data/absolute/img_0013_00015.dat datacollection/data/absolute/img_0013_00016.dat datacollection/data/absolute/img_0013_00017.dat datacollection/data/absolute/img_0013_00018.dat datacollection/data/absolute/img_0013_00019.dat datacollection/data/absolute/img_0013_00020.dat datacollection/data/absolute/img_0013_00021.dat datacollection/data/absolute/img_0013_00022.dat datacollection/data/absolute/img_0013_00023.dat datacollection/data/absolute/img_0013_00024.dat datacollection/data/absolute/img_0013_00025.dat datacollection/data/absolute/img_0013_00026.dat datacollection/data/absolute/img_0013_00027.dat datacollection/data/absolute/img_0013_00028.dat datacollection/data/absolute/img_0013_00029.dat datacollection/data/absolute/img_0013_00030.dat datacollection/data/absolute/img_0013_00031.dat datacollection/data/absolute/img_0013_00032.dat datacollection/data/absolute/img_0013_00033.dat datacollection/data/absolute/img_0013_00034.dat datacollection/data/absolute/img_0013_00035.dat datacollection/data/absolute/img_0013_00036.dat datacollection/data/absolute/img_0013_00037.dat datacollection/data/absolute/img_0013_00038.dat datacollection/data/absolute/img_0013_00039.dat datacollection/data/absolute/img_0013_00040.dat datacollection/data/absolute/img_0013_00041.dat datacollection/data/absolute/img_0013_00042.dat datacollection/data/absolute/img_0013_00043.dat datacollection/data/absolute/img_0013_00044.dat datacollection/data/absolute/img_0013_00045.dat datacollection/data/absolute/img_0013_00046.dat datacollection/data/absolute/img_0013_00047.dat datacollection/data/absolute/img_0013_00048.dat datacollection/data/absolute/img_0013_00049.dat datacollection/data/absolute/img_0013_00050.dat  
  1.710980e-02   4.776362e+01   7.195741e-02
  1.986230e-02   1.930686e+01   3.659920e-02
  2.261490e-02   1.556493e+01   2.999844e-02
  2.536740e-02   1.463690e+01   2.519192e-02
  2.811990e-02   1.084419e+01   1.979562e-02
  3.087240e-02   7.970854e+00   1.662853e-02
  3.362490e-02   5.882006e+00   1.337873e-02
  3.637740e-02   4.663351e+00   1.090633e-02
  3.913000e-02   3.681745e+00   9.620435e-03
  4.188250e-02   3.026713e+00   8.100772e-03
  4.463500e-02   2.524908e+00   7.263994e-03
  4.738750e-02   2.205974e+00   6.449017e-03
  5.014000e-02   1.944718e+00   5.958702e-03
  5.289260e-02   1.736020e+00   5.380806e-03
  5.564510e-02   1.566633e+00   5.087215e-03
  5.839760e-02   1.409805e+00   4.631412e-03
  6.115010e-02   1.300116e+00   4.247357e-03
  6.390260e-02   1.199603e+00   4.096295e-03
  6.665510e-02   1.115212e+00   3.757579e-03
  6.940770e-02   1.053160e+00   3.625178e-03
  7.216020e-02   9.913368e-01   3.397112e-03
  7.491270e-02   9.486987e-01   3.258315e-03
  7.766520e-02   9.041057e-01   3.180778e-03
  8.041770e-02   8.660191e-01   2.999111e-03
  8.317020e-02   8.384382e-01   2.891003e-03
  8.592280e-02   8.080805e-01   2.790510e-03
  8.867530e-02   7.913995e-01   2.738841e-03
  9.142780e-02   7.636136e-01   2.640247e-03
  9.418030e-02   7.425544e-01   2.576644e-03
  9.693280e-02   7.233531e-01   2.461931e-03
  9.968540e-02   7.101946e-01   2.421962e-03
  1.024380e-01   6.942147e-01   2.372092e-03
  1.051900e-01   6.801363e-01   2.294886e-03
  1.079430e-01   6.681480e-01   2.225463e-03
  1.106950e-01   6.564415e-01   2.220098e-03
  1.134480e-01   6.456692e-01   2.146759e-03
  1.162000e-01   6.398142e-01   2.119667e-03
  1.189530e-01   6.256468e-01   2.043003e-03
  1.217050e-01   6.211682e-01   2.043568e-03
  1.244580e-01   6.057528e-01   1.994948e-03
  1.272110e-01   5.978110e-01   1.956084e-03
  1.299630e-01   5.900752e-01   1.918772e-03
  1.327160e-01   5.809640e-01   1.857712e-03
  1.354680e-01   5.776351e-01   1.868419e-03
  1.382210e-01   5.663903e-01   1.831088e-03
  1.409730e-01   5.631161e-01   1.780776e-03
  1.437260e-01   5.513542e-01   1.767858e-03
  1.464780e-01   5.443669e-01   1.720450e-03
  1.492310e-01   5.387660e-01   1.711558e-03
  1.519830e-01   5.299020e-01   1.668902e-03
  1.547360e-01   5.240670e-01   1.627930e-03
  1.574880e-01   5.165445e-01   1.632943e-03
  1.602410e-01   5.110333e-01   1.586869e-03
  1.629930e-01   5.046152e-01   1.590493e-03
  1.657460e-01   4.959132e-01   1.543598e-03
  1.684980e-01   4.901127e-01   1.509699e-03
  1.712510e-01   4.879689e-01   1.522778e-03
  1.740030e-01   4.814084e-01   1.468877e-03
  1.767560e-01   4.722283e-01   1.464311e-03
  1.795080e-01   4.663943e-01   1.436564e-03
  1.822610e-01   4.599022e-01   1.417502e-03
  1.850130e-01   4.565314e-01   1.403517e-03
  1.877660e-01   4.483913e-01   1.367346e-03
  1.905180e-01   4.431198e-01   1.357655e-03
  1.932710e-01   4.376966e-01   1.342881e-03
  1.960230e-01   4.313748e-01   1.325289e-03
  1.987760e-01   4.242233e-01   1.318908e-03
  2.015290e-01   4.218677e-01   1.312149e-03
  2.042810e-01   4.154001e-01   1.322440e-03
  2.070340e-01   4.114884e-01   1.317783e-03
  2.097860e-01   4.031831e-01   1.310839e-03
  2.125390e-01   3.952790e-01   1.294750e-03
  2.152910e-01   3.937916e-01   1.284466e-03
  2.180440e-01   3.907185e-01   1.284103e-03
  2.207960e-01   3.812591e-01   1.273141e-03
  2.235490e-01   3.772070e-01   1.255605e-03
  2.263010e-01   3.702919e-01   1.248563e-03
  2.290540e-01   3.641865e-01   1.227844e-03
  2.318060e-01   3.611496e-01   1.230077e-03
  2.345590e-01   3.555769e-01   1.207502e-03
  2.373110e-01   3.503420e-01   1.197154e-03
  2.400640e-01   3.408015e-01   1.176588e-03
  2.428160e-01   3.411760e-01   1.191289e-03
  2.455690e-01   3.329404e-01   1.156200e-03
  2.483210e-01   3.288639e-01   1.155798e-03
  2.510740e-01   3.230318e-01   1.124621e-03
  2.538260e-01   3.189038e-01   1.126358e-03
  2.565790e-01   3.155052e-01   1.134722e-03
