Sample description: 
Sample:   c= .6900 mg/ml  Code: P1_3_P1_Buffer
Parent(s): datacollection/data/absolute/img_0019_00001.dat datacollection/data/absolute/img_0019_00002.dat datacollection/data/absolute/img_0019_00003.dat datacollection/data/absolute/img_0019_00004.dat datacollection/data/absolute/img_0019_00005.dat datacollection/data/absolute/img_0019_00006.dat datacollection/data/absolute/img_0019_00007.dat datacollection/data/absolute/img_0019_00008.dat datacollection/data/absolute/img_0019_00009.dat datacollection/data/absolute/img_0019_00010.dat datacollection/data/absolute/img_0019_00011.dat datacollection/data/absolute/img_0019_00012.dat datacollection/data/absolute/img_0019_00013.dat datacollection/data/absolute/img_0019_00014.dat datacollection/data/absolute/img_0019_00015.dat datacollection/data/absolute/img_0019_00016.dat datacollection/data/absolute/img_0019_00017.dat datacollection/data/absolute/img_0019_00018.dat datacollection/data/absolute/img_0019_00019.dat datacollection/data/absolute/img_0019_00020.dat datacollection/data/absolute/img_0019_00021.dat datacollection/data/absolute/img_0019_00022.dat datacollection/data/absolute/img_0019_00023.dat datacollection/data/absolute/img_0019_00024.dat datacollection/data/absolute/img_0019_00025.dat datacollection/data/absolute/img_0019_00026.dat datacollection/data/absolute/img_0019_00027.dat datacollection/data/absolute/img_0019_00028.dat datacollection/data/absolute/img_0019_00029.dat datacollection/data/absolute/img_0019_00030.dat datacollection/data/absolute/img_0019_00031.dat datacollection/data/absolute/img_0019_00032.dat datacollection/data/absolute/img_0019_00033.dat datacollection/data/absolute/img_0019_00034.dat datacollection/data/absolute/img_0019_00035.dat datacollection/data/absolute/img_0019_00036.dat datacollection/data/absolute/img_0019_00037.dat datacollection/data/absolute/img_0019_00038.dat datacollection/data/absolute/img_0019_00039.dat datacollection/data/absolute/img_0019_00040.dat datacollection/data/absolute/img_0019_00041.dat datacollection/data/absolute/img_0019_00042.dat datacollection/data/absolute/img_0019_00043.dat datacollection/data/absolute/img_0019_00044.dat datacollection/data/absolute/img_0019_00045.dat datacollection/data/absolute/img_0019_00046.dat datacollection/data/absolute/img_0019_00047.dat datacollection/data/absolute/img_0019_00048.dat datacollection/data/absolute/img_0019_00049.dat datacollection/data/absolute/img_0019_00050.dat  
  1.710980e-02   4.823117e+01   7.231737e-02
  1.986230e-02   1.924944e+01   3.654979e-02
  2.261490e-02   1.547788e+01   2.991835e-02
  2.536740e-02   1.454911e+01   2.512105e-02
  2.811990e-02   1.054010e+01   1.951835e-02
  3.087240e-02   7.653625e+00   1.629642e-02
  3.362490e-02   5.536086e+00   1.298096e-02
  3.637740e-02   4.347165e+00   1.053156e-02
  3.913000e-02   3.323781e+00   9.141888e-03
  4.188250e-02   2.681601e+00   7.625971e-03
  4.463500e-02   2.183097e+00   6.755271e-03
  4.738750e-02   1.868488e+00   5.936031e-03
  5.014000e-02   1.609380e+00   5.421385e-03
  5.289260e-02   1.396074e+00   4.825927e-03
  5.564510e-02   1.226707e+00   4.502122e-03
  5.839760e-02   1.073623e+00   4.042177e-03
  6.115010e-02   9.737402e-01   3.676281e-03
  6.390260e-02   8.806894e-01   3.510278e-03
  6.665510e-02   7.943462e-01   3.171664e-03
  6.940770e-02   7.333295e-01   3.025417e-03
  7.216020e-02   6.708134e-01   2.794796e-03
  7.491270e-02   6.227538e-01   2.640193e-03
  7.766520e-02   5.828442e-01   2.554205e-03
  8.041770e-02   5.564593e-01   2.404352e-03
  8.317020e-02   5.261458e-01   2.290456e-03
  8.592280e-02   4.998645e-01   2.194971e-03
  8.867530e-02   4.842513e-01   2.142647e-03
  9.142780e-02   4.596835e-01   2.048778e-03
  9.418030e-02   4.451556e-01   1.995236e-03
  9.693280e-02   4.321468e-01   1.903145e-03
  9.968540e-02   4.162154e-01   1.854325e-03
  1.024380e-01   4.090345e-01   1.820996e-03
  1.051900e-01   3.920777e-01   1.742624e-03
  1.079430e-01   3.845318e-01   1.688497e-03
  1.106950e-01   3.715078e-01   1.670398e-03
  1.134480e-01   3.687262e-01   1.622508e-03
