Sample description: 
Sample:   c= 1.3600 mg/ml  Code: P1_1_P1_Buffer
Parent(s): analysis/processed/subtracted/P1_1_P1_Buffer_0013_sub.dat
  1.710980e-02   1.093676e+00   6.442312e-02
  1.986230e-02   5.082647e-01   3.274150e-02
  2.261490e-02   5.103676e-01   2.679679e-02
  2.536740e-02   3.787941e-01   2.253924e-02
  2.811990e-02   5.606985e-01   1.760585e-02
  3.087240e-02   5.200757e-01   1.474275e-02
  3.362490e-02   5.406463e-01   1.178755e-02
  3.637740e-02   5.206000e-01   9.564404e-03
  3.913000e-02   5.244338e-01   8.374581e-03
  4.188250e-02   5.103191e-01   7.007029e-03
  4.463500e-02   5.057471e-01   6.234274e-03
  4.738750e-02   5.049956e-01   5.495322e-03
  5.014000e-02   4.950757e-01   5.044563e-03
  5.289260e-02   4.962154e-01   4.518789e-03
  5.564510e-02   4.842279e-01   4.246351e-03
  5.839760e-02   4.844234e-01   3.830662e-03
  6.115010e-02   4.774232e-01   3.490746e-03
  6.390260e-02   4.748666e-01   3.340353e-03
  6.665510e-02   4.680951e-01   3.043925e-03
  6.940770e-02   4.664426e-01   2.917624e-03
  7.216020e-02   4.645625e-01   2.714116e-03
  7.491270e-02   4.619051e-01   2.589548e-03
  7.766520e-02   4.538295e-01   2.516854e-03
  8.041770e-02   4.474767e-01   2.362856e-03
  8.317020e-02   4.468299e-01   2.266754e-03
  8.592280e-02   4.425132e-01   2.178368e-03
  8.867530e-02   4.420870e-01   2.130948e-03
  9.142780e-02   4.352663e-01   2.047154e-03
  9.418030e-02   4.284381e-01   1.993590e-03
  9.693280e-02   4.239044e-01   1.899559e-03
  9.968540e-02   4.231762e-01   1.863061e-03
  1.024380e-01   4.175465e-01   1.821526e-03
  1.051900e-01   4.131217e-01   1.758985e-03
  1.079430e-01   4.094584e-01   1.702891e-03
  1.106950e-01   4.062527e-01   1.695574e-03
  1.134480e-01   4.026100e-01   1.637149e-03
  1.162000e-01   4.012931e-01   1.614630e-03
  1.189530e-01   3.952512e-01   1.553997e-03
  1.217050e-01   3.943776e-01   1.552875e-03
  1.244580e-01   3.863127e-01   1.514564e-03
  1.272110e-01   3.834382e-01   1.483329e-03
  1.299630e-01   3.790549e-01   1.454579e-03
  1.327160e-01   3.751219e-01   1.406807e-03
  1.354680e-01   3.733566e-01   1.414616e-03
  1.382210e-01   3.674301e-01   1.385302e-03
  1.409730e-01   3.676246e-01   1.345463e-03
  1.437260e-01   3.598864e-01   1.335749e-03
  1.464780e-01   3.564351e-01   1.299079e-03
  1.492310e-01   3.530061e-01   1.292182e-03
  1.519830e-01   3.478054e-01   1.259512e-03
  1.547360e-01   3.448935e-01   1.227900e-03
  1.574880e-01   3.398615e-01   1.231744e-03
  1.602410e-01   3.372266e-01   1.196242e-03
  1.629930e-01   3.336256e-01   1.198488e-03
  1.657460e-01   3.277379e-01   1.163254e-03
  1.684980e-01   3.240173e-01   1.137621e-03
  1.712510e-01   3.232746e-01   1.146966e-03
  1.740030e-01   3.184499e-01   1.106723e-03
  1.767560e-01   3.126532e-01   1.103074e-03
  1.795080e-01   3.091585e-01   1.081896e-03
  1.822610e-01   3.044138e-01   1.067872e-03
  1.850130e-01   3.025382e-01   1.057070e-03
  1.877660e-01   2.966846e-01   1.030167e-03
  1.905180e-01   2.939977e-01   1.022269e-03
  1.932710e-01   2.900385e-01   1.011415e-03
  1.960230e-01   2.858564e-01   9.981603e-04
  1.987760e-01   2.806658e-01   9.936956e-04
  2.015290e-01   2.796215e-01   9.882140e-04
  2.042810e-01   2.751149e-01   9.961346e-04
  2.070340e-01   2.724453e-01   9.926890e-04
  2.097860e-01   2.666327e-01   9.877044e-04
  2.125390e-01   2.610295e-01   9.758809e-04
  2.152910e-01   2.604880e-01   9.677809e-04
  2.180440e-01   2.581658e-01   9.677390e-04
  2.207960e-01   2.516332e-01   9.597059e-04
  2.235490e-01   2.487640e-01   9.466456e-04
  2.263010e-01   2.437374e-01   9.417184e-04
  2.290540e-01   2.402407e-01   9.256640e-04
  2.318060e-01   2.374045e-01   9.280353e-04
  2.345590e-01   2.335062e-01   9.111963e-04
  2.373110e-01   2.296662e-01   9.037221e-04
  2.400640e-01   2.230815e-01   8.884743e-04
  2.428160e-01   2.231384e-01   8.997331e-04
  2.455690e-01   2.176249e-01   8.733390e-04
  2.483210e-01   2.145904e-01   8.733507e-04
  2.510740e-01   2.102354e-01   8.502566e-04
  2.538260e-01   2.077323e-01   8.514125e-04
