Sample description: 
Sample:   c= .6900 mg/ml  Code: P1_3_P1_Buffer
Parent(s): analysis/processed/subtracted/P1_3_P1_Buffer_0019_sub.dat
  1.710980e-02   3.010290e-01   1.283737e-01
  1.986230e-02   5.356812e-01   6.471872e-02
  2.261490e-02   5.405797e-01   5.293287e-02
  2.536740e-02   6.649275e-01   4.438899e-02
  2.811990e-02   5.891159e-01   3.444841e-02
  3.087240e-02   5.043551e-01   2.872823e-02
  3.362490e-02   5.302072e-01   2.280335e-02
  3.637740e-02   5.157826e-01   1.845055e-02
  3.913000e-02   5.158696e-01   1.594630e-02
  4.188250e-02   4.983203e-01   1.325329e-02
  4.463500e-02   4.763899e-01   1.169414e-02
  4.738750e-02   4.851478e-01   1.022406e-02
  5.014000e-02   4.866290e-01   9.288577e-03
  5.289260e-02   4.742174e-01   8.230043e-03
  5.564510e-02   4.476267e-01   7.653564e-03
  5.839760e-02   4.605326e-01   6.815971e-03
  6.115010e-02   4.565262e-01   6.167252e-03
  6.390260e-02   4.623067e-01   5.845896e-03
  6.665510e-02   4.550203e-01   5.248652e-03
  6.940770e-02   4.544957e-01   4.975293e-03
  7.216020e-02   4.449083e-01   4.569070e-03
  7.491270e-02   4.301112e-01   4.300159e-03
  7.766520e-02   4.240383e-01   4.138993e-03
  8.041770e-02   4.272917e-01   3.874323e-03
  8.317020e-02   4.250841e-01   3.670004e-03
  8.592280e-02   4.213017e-01   3.499557e-03
  8.867530e-02   4.222955e-01   3.401809e-03
  9.142780e-02   4.135117e-01   3.239833e-03
  9.418030e-02   4.109913e-01   3.144257e-03
  9.693280e-02   4.117229e-01   2.986142e-03
  9.968540e-02   4.061029e-01   2.899657e-03
  1.024380e-01   4.073784e-01   2.838942e-03
  1.051900e-01   3.972530e-01   2.709725e-03
  1.079430e-01   3.927552e-01   2.622314e-03
  1.106950e-01   3.870706e-01   2.586164e-03
  1.134480e-01   3.901432e-01   2.505832e-03
  1.162000e-01   3.825019e-01   2.449045e-03
  1.189530e-01   3.829622e-01   2.362894e-03
  1.217050e-01   3.778829e-01   2.342868e-03
  1.244580e-01   3.681249e-01   2.279007e-03
  1.272110e-01   3.726519e-01   2.241129e-03
  1.299630e-01   3.641830e-01   2.184462e-03
  1.327160e-01   3.605300e-01   2.108968e-03
  1.354680e-01   3.523713e-01   2.099436e-03
  1.382210e-01   3.549175e-01   2.067165e-03
  1.409730e-01   3.525862e-01   2.002646e-03
  1.437260e-01   3.457070e-01   1.988310e-03
  1.464780e-01   3.411419e-01   1.926836e-03
  1.492310e-01   3.387306e-01   1.918945e-03
  1.519830e-01   3.378149e-01   1.874084e-03
  1.547360e-01   3.347191e-01   1.827399e-03
  1.574880e-01   3.281755e-01   1.826164e-03
  1.602410e-01   3.255059e-01   1.771745e-03
  1.629930e-01   3.209443e-01   1.775262e-03
  1.657460e-01   3.181845e-01   1.725617e-03
  1.684980e-01   3.115090e-01   1.681268e-03
  1.712510e-01   3.098987e-01   1.693158e-03
  1.740030e-01   3.071264e-01   1.635420e-03
  1.767560e-01   3.023390e-01   1.632468e-03
  1.795080e-01   2.994588e-01   1.601458e-03
  1.822610e-01   2.949225e-01   1.578791e-03
  1.850130e-01   2.897746e-01   1.557467e-03
  1.877660e-01   2.855110e-01   1.520349e-03
  1.905180e-01   2.853104e-01   1.513754e-03
  1.932710e-01   2.775659e-01   1.491755e-03
  1.960230e-01   2.737048e-01   1.471799e-03
  1.987760e-01   2.727038e-01   1.472833e-03
  2.015290e-01   2.691067e-01   1.460584e-03
  2.042810e-01   2.662913e-01   1.473584e-03
  2.070340e-01   2.594551e-01   1.459657e-03
  2.097860e-01   2.567861e-01   1.462081e-03
  2.125390e-01   2.542383e-01   1.447185e-03
  2.152910e-01   2.489968e-01   1.428096e-03
  2.180440e-01   2.480303e-01   1.428425e-03
  2.207960e-01   2.406429e-01   1.419135e-03
  2.235490e-01   2.358477e-01   1.395337e-03
  2.263010e-01   2.327139e-01   1.390724e-03
  2.290540e-01   2.301987e-01   1.373742e-03
  2.318060e-01   2.278723e-01   1.375793e-03
  2.345590e-01   2.244220e-01   1.350277e-03
  2.373110e-01   2.192778e-01   1.338959e-03
  2.400640e-01   2.176861e-01   1.327488e-03
  2.428160e-01   2.117422e-01   1.327429e-03
  2.455690e-01   2.115657e-01   1.303435e-03
  2.483210e-01   2.074251e-01   1.302915e-03
  2.510740e-01   2.016980e-01   1.265351e-03
  2.538260e-01   1.998430e-01   1.268311e-03
  2.565790e-01   1.975648e-01   1.280044e-03
