Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: P1_4_P1_Buffer
Parent(s): C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_4_P1_Buffer_0022.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_3_P1_Buffer_0019.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_2_P1_Buffer_0016.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_1_P1_Buffer_0013.dat
 3.913000e-002  5.836755e-001  8.374581e-003
 4.188250e-002  5.992588e-001  7.007029e-003
 4.463500e-002  5.617444e-001  6.234274e-003
 4.738750e-002  5.541862e-001  5.495322e-003
 5.014000e-002  5.565373e-001  5.044563e-003
 5.289260e-002  5.443800e-001  4.518789e-003
 5.564510e-002  4.888825e-001  4.246351e-003
 5.839760e-002  4.730293e-001  3.830662e-003
 6.115010e-002  4.978062e-001  3.490746e-003
 6.390260e-002  4.835288e-001  3.340353e-003
 6.665510e-002  4.719933e-001  3.043925e-003
 6.940770e-002  4.825354e-001  2.917624e-003
 7.216020e-002  4.784197e-001  2.714116e-003
 7.491270e-002  4.584478e-001  2.589548e-003
 7.766520e-002  4.338175e-001  2.516854e-003
 8.041770e-002  4.486267e-001  2.362856e-003
 8.317020e-002  4.444617e-001  2.266754e-003
 8.592280e-002  4.406498e-001  2.178368e-003
 8.867530e-002  4.427929e-001  2.130948e-003
 9.142780e-002  4.275991e-001  2.047154e-003
 9.418030e-002  4.277417e-001  1.993590e-003
 9.693280e-002  4.285634e-001  1.899559e-003
 9.968540e-002  4.204350e-001  1.863061e-003
 1.024380e-001  4.261488e-001  1.821526e-003
 1.051900e-001  4.107953e-001  1.758985e-003
 1.079430e-001  4.107252e-001  1.702891e-003
 1.106950e-001  4.026614e-001  1.695574e-003
 1.134480e-001  4.077328e-001  1.637149e-003
 1.162000e-001  4.022057e-001  1.614630e-003
 1.189530e-001  3.974273e-001  1.553997e-003
