    New chain ID            Original chain ID

4ym7-pdb-bundle1.pdb:
           A                        AA
           B                        AB
           C                        AC
           D                        AD
           E                        AE
           F                        AF
           G                        AG
           H                        AH
           I                        AI
           J                        AJ
           K                        AK
           L                        AL
           M                        AM
           N                        AN
           O                        AO
           P                        BA
           Q                        BB
           R                        BC
           S                        BD
           T                        BE
           U                        BF
           V                        BG
           W                        BH
           X                        BI
           Y                        BJ
           Z                        BK
           a                        BL
           b                        BM
           c                        BN
           d                        BO
           e                        CA
           f                        CB
           g                        CC
           h                        CD
           i                        CE
           j                        CF
           k                        CG
           l                        CH
           m                        CI
           n                        CJ
           o                        CK
           p                        CL

4ym7-pdb-bundle2.pdb:
           A                        CM
           B                        CN
           C                        CO
           D                        DA
           E                        DB
           F                        DC
           G                        DD
           H                        DE
           I                        DF
           J                        DG
           K                        DH
           L                        DI
           M                        DJ
           N                        DK
           O                        DL
           P                        DM
           Q                        DN
           R                        DO
           S                        EA
           T                        EB
           U                        EC
           V                        ED
           W                        EE
           X                        EF
           Y                        EG
           Z                        EH
           a                        EI
           b                        EJ
           c                        EK
           d                        EL
           e                        EM
           f                        EN
           g                        EO
           h                        FA
           i                        FB
           j                        FC
           k                        FD
           l                        FE
           m                        FF
           n                        FG
           o                        FH

4ym7-pdb-bundle3.pdb:
           A                        FI
           B                        FJ
           C                        FK
           D                        FL
           E                        FM
           F                        FN
           G                        FO
